#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     293    8.193    0.408   -2.134  -13.167   10.309
     294    7.464   -0.561   -2.396  -11.839    9.077
     295    5.643   -4.945   -0.556  -15.248    5.300
     296   10.339   -4.172   -1.297   -7.461    6.081
     297   17.351   -4.222    4.532  -10.172    3.633
     298   15.165   -6.095   -4.597   -7.639    2.194
     299   15.248   -8.787   -6.760   -7.243    2.369
     300   10.634   -9.564   -4.070   -8.876    6.892
     301   12.178  -11.526   -4.951   -9.567    8.106
     302   12.445   -9.653   -5.636  -12.105    5.649
     303    8.925   -9.667   -8.888   -8.092    1.752
     304    8.531   -4.523   -7.515   -7.657   -0.526
     305   13.183   -4.373   -9.164  -10.366    0.909
     306    3.575   -7.321   -9.288   -9.617    1.714
     307    2.582   -9.939   -5.699   -8.107    2.633
     308    7.128   -4.962   -5.528   -4.385    2.543
     309    8.676   -8.984   -3.499   -5.746   -0.400
     310    6.631  -12.800   -6.707   -6.108    2.145
     311    6.294  -12.189   -6.018   -9.239    0.407
     312    3.868  -12.685   -3.533   -8.665    1.571
     313    3.958  -12.755   -0.940   -5.349    2.476
     314    9.467   -9.881    0.969   -8.918    9.683
     315    5.027   -8.918    1.049   -5.068    6.691
     316    5.827  -12.740    2.099   -5.434   10.167
     317    2.957  -11.623    3.340  -11.581   11.571
     318    7.658   -9.742   -0.619   -6.208    8.057
     319    6.718   -7.120    0.986   -5.873    7.186
     320    8.292  -11.442   -3.382  -11.289    8.373
     321    5.379   -8.983   -3.890   -5.125    4.254
     322    7.049   -8.317   -4.030   -8.121    4.508
     323    7.546   -6.834    4.274   -7.580    8.771
     324    7.799   -9.648    2.691   -5.350    9.375
     325    1.474   -8.977    3.591   -6.739    7.355
     326    5.338   -8.651    0.996   -6.968    5.766
     327    5.119   -7.157   -2.430   -4.949    0.665
     328    4.996   -7.619    1.288  -10.374   -0.047
     329    7.328   -8.090   -3.695   -8.263    1.420
     330    5.094  -10.545   -2.390  -11.026    3.292
