#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     215    5.644   -1.154  -14.943   -4.992  -10.567
     216    3.465   -3.451  -14.597   -5.547   -6.987
     217    3.543   -2.836  -13.201   -9.867  -10.377
     218    1.392   -6.280  -16.852  -10.828   -8.368
     219    5.364   -2.092  -14.619   -5.252   -5.247
     220    0.039  -11.134  -13.741  -11.020  -11.107
     221    4.481   -6.824  -15.802   -4.977   -6.669
     222    3.975   -5.839  -13.306   -3.616  -11.452
     223    2.416   -7.483  -12.538   -2.603  -10.037
     224    2.990   -2.948  -12.271   -3.129   -8.335
     225    5.302   -1.661  -14.897   -7.440  -10.418
     226    5.793   -1.037  -16.169   -5.791   -1.658
     227    5.189   -0.568  -17.378   -2.295   -2.220
     228    4.707    2.345  -16.027    0.777   -2.468
     229    3.980   -1.874  -16.684   -2.512   -2.414
     230    5.207    1.163  -15.260   -0.067   -5.312
     231    3.426   -1.360  -15.499   -7.984   -5.907
     232    3.953   -1.962  -15.562   -8.116   -4.607
     233    3.329   -3.500  -16.816   -9.648   -2.634
     234    1.267   -6.257  -14.596   -1.444   -4.313
     235    1.919   -5.521  -15.700  -11.682   -3.220
     236    1.980   -3.348  -18.760  -12.646   -1.434
     237    1.622   -5.911  -17.021  -10.308   -0.484
     238    4.125   -1.786  -20.232   -5.109    2.262
     239    1.851   -3.537  -15.741   -7.322   -3.070
     240    1.460   -6.584  -15.724   -9.442   -4.411
     241   -1.209   -2.766  -15.779   -3.934    0.164
     242   -0.799   -2.391  -16.773  -10.621   -0.680
     243    2.714   -1.796  -14.474   -8.271    1.097
     244    6.780    2.543  -12.915   -6.989    2.391
     245    8.898    1.675  -15.496   -5.675    3.019
     246    3.420    0.592  -13.689   -5.061    1.608
     247    4.651   -2.737  -14.997  -12.591    0.059
     248    2.266   -4.587  -15.119  -11.555   -3.058
     249   -0.741   -7.370  -18.115  -10.859   -5.031
     250    2.059   -4.072  -17.395   -9.885   -2.994
     251    4.494   -2.208  -16.297  -10.765    0.277
     252    3.782   -1.016  -16.568   -6.877    1.254
     253    4.112   -2.934  -13.277   -6.653   -3.479
     254    5.617   -2.532  -17.166   -4.826    0.786
     255    4.203    0.048  -16.521   -2.709    3.821
     256    4.822   -4.733  -15.471   -4.536    0.228
     257    4.852   -5.504  -18.700   -7.843    1.600
     258    8.126   -5.365  -15.629   -6.736   -0.833
     259    8.877   -2.659  -13.641   -2.482    0.748
     260    7.237   -2.847  -17.000   -3.146    3.570
     261    4.575   -4.514  -13.398   -7.067   -2.423
     262    7.323   -0.162  -12.208   -5.087   -2.412
     263    8.053    2.205  -13.215    1.943   -0.449
     264    4.067   -2.140  -12.264   -0.726   -3.564
     265    6.348    0.722  -16.068   -7.673    1.640
     266    5.178    2.635  -17.837   -6.456    4.965
     267    8.036    2.326  -12.325   -7.484    0.389
     268   10.373   -0.852  -12.702  -10.581    2.076
     269    8.554   -2.668  -15.397   -8.798    0.044
     270    5.776   -5.003  -16.532   -8.673   -1.986
     271    6.468   -3.498  -17.214   -6.059    0.175
     272    0.134   -7.087  -21.714   -9.283   -1.776
     273    1.949   -4.777  -17.028   -5.771    0.545
     274    2.922   -4.866  -12.690   -6.511    0.417
     275    4.672   -3.283  -14.970  -10.485    2.632
     276    7.404   -2.064  -18.336  -13.071    5.546
     277    7.717    2.657  -17.615   -7.406   -0.810
     278    7.149    0.836  -15.126   -6.203    0.303
     279    4.882   -3.880  -15.095   -7.668    0.910
     280    3.593   -0.044  -17.208   -3.957   -1.331
     281    2.765   -1.795  -14.698   -2.798   -4.855
     282    6.660    1.465  -15.732  -10.437   -1.759
     283    0.851   -2.439  -13.426   -4.113   -7.633
     284    2.627   -2.166  -11.272   -5.734   -3.563
     285    1.808   -3.313  -10.859   -3.903   -4.811
     286   -0.237   -2.248  -13.994   -5.069   -3.006
     287   -0.980   -6.644  -13.635   -4.261   -3.278
     288    3.263   -3.078  -12.483   -4.303   -6.322
     289    7.066    0.948  -11.482   -1.718   -4.283
     290    2.517   -4.930  -15.031   -8.724   -8.061
     291    5.653   -2.581  -14.650  -11.372   -6.278
     292    6.428   -3.342  -14.065   -4.905   -3.125
     293    8.718    3.894  -15.608   -9.372   -2.102
     294   10.811    1.403  -18.964  -14.885    3.096
     295    9.774   -2.455  -15.300   -9.937    4.531
     296    9.927   -1.561  -16.196   -6.843    1.278
     297    5.225   -4.206  -16.774   -7.578    3.771
     298    7.442    1.202  -15.174   -6.584    0.527
     299    9.280    1.711  -15.976   -7.421    2.511
     300    6.518   -1.740  -17.417   -1.374    2.974
     301    6.964   -0.201  -14.918   -2.656   -1.825
     302   10.026    2.093  -16.927  -12.125   -0.759
     303    8.490   -0.380  -17.410   -9.574   -1.965
     304    8.328    6.090  -14.272   -0.313   -3.595
     305   10.220    6.852  -16.238   -4.505    1.992
     306    8.520   -0.694  -16.054   -9.511   -2.116
     307    7.442   -4.255  -13.441   -8.523   -2.258
     308    7.104   -2.879  -11.790   -4.832   -5.132
     309    4.064   -3.530  -15.558   -6.241   -1.334
     310    4.649   -5.065  -13.052   -5.484   -2.417
     311    8.225   -1.446  -12.580    2.120    3.759
     312    5.975   -3.592  -15.228   -4.315    5.468
     313    8.479   -3.386  -16.741   -1.510    3.778
     314   11.831    1.085  -14.631   -3.128    4.311
     315   10.933    1.545  -13.639    0.695    3.782
     316    8.775   -5.046  -11.840    0.938   -1.177
     317   11.423   -3.070  -14.425   -1.750   -1.350
     318    9.340   -3.940  -16.465   -3.551   -3.459
     319    9.232   -3.546  -16.107   -4.343   -1.840
     320    2.143   -9.176  -13.412   -3.482   -6.876
     321    7.480   -1.078  -14.590   -8.736   -3.045
     322   10.633   -1.330  -12.234   -3.649   -4.230
     323    9.067   -4.368  -12.678   -1.691   -3.777
     324    8.586    0.982  -11.721   -5.964   -3.122
     325    7.398   -1.141  -12.134   -8.247   -4.291
     326   11.257   -1.242   -9.558   -2.865   -2.875
     327    7.739   -1.700   -8.786   -5.080   -5.765
     328    4.940   -6.945  -10.673   -5.162   -4.139
     329    3.885   -4.293  -12.714  -10.494   -2.732
     330    5.898   -0.537  -13.350   -5.248   -4.303
     331    5.044   -3.681  -13.431   -2.836   -3.854
     332    6.261   -2.215  -12.846   -5.705   -1.202
     333    8.129    1.239  -12.809   -7.378   -0.971
     334   10.796    1.107  -11.677   -4.464    0.752
     335    4.904    1.156  -14.857   -6.468    0.903
     336    6.479    4.906  -12.582   -1.872    1.119
     337    5.893   -0.051  -11.810   -1.049   -4.881
     338    2.793    2.924  -13.149   -7.669   -2.567
     339    6.000    4.881  -14.429   -3.112   -2.303
     340    4.524   -1.396  -14.527   -5.334   -2.215
     341    9.024    3.306  -12.646   -5.115    1.423
     342    7.581    7.171  -16.257   -5.415    2.790
     343    5.788    3.815  -17.321   -2.850    4.345
     344    4.503    5.687  -16.385   -3.828    3.143
     345    8.184    2.211  -12.982   -0.352    0.577
     346    6.419    2.858  -14.511   -6.461    4.412
     347    8.153    1.605  -15.034   -8.454   -2.193
     348    6.951    0.768  -13.440   -5.431   -1.173
     349    9.263    0.125  -13.771   -5.185    1.583
     350    5.844   -0.595  -12.932   -4.268   -1.190
     351   10.278   -0.562  -12.261   -8.806   -4.100
     352    9.556    0.074  -13.405   -5.045   -3.857
     353    6.539    0.029  -12.331   -0.646    1.486
     354    7.336    0.812  -13.291   -3.359   -1.461
     355    9.418   -2.537  -11.488   -5.938   -2.836
     356    4.686   -4.879  -12.268   -8.698   -2.332
     357    9.940   -1.758   -9.501   -9.125   -3.004
     358   10.446   -0.123   -9.855   -6.135   -1.766
     359    7.533   -1.554  -13.968   -3.208    2.215
     360    8.114    2.616  -14.298   -3.849    4.169
     361   12.271    2.907  -13.861   -3.034   -3.888
     362   11.890    2.411  -14.129   -5.016   -4.777
     363   11.029    8.006  -13.779    1.706   -3.527
     364    9.854    5.514  -13.507   -0.428   -1.638
     365    6.135    2.614  -12.550    0.252   -4.257
     366    6.896    5.726  -13.646   -3.957   -5.576
     367    6.014   -0.088  -13.868   -0.390   -2.837
     368    8.933    2.392  -11.053   -1.194   -0.643
     369   12.388    6.943  -10.989    2.333   -2.946
     370   10.383    6.175  -14.332   -1.807    0.374
     371   12.865    3.981  -14.860   -3.820    1.917
     372   10.708    1.568  -14.769   -3.389    3.303
     373    8.209   -0.150  -18.584   -9.414   -0.731
     374    7.464    1.408  -15.757   -3.155   -2.503
     375    7.659    2.031  -18.653   -4.682    2.296
     376   10.751    0.797  -15.964   -1.639    3.624
     377    6.771    0.054  -18.673   -4.833   -3.318
     378   11.658    1.808  -14.569   -8.834   -3.201
     379    9.212   -0.222  -15.512   -3.639   -3.077
